Professor : ( Z : 0.166667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.333333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.666667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.833333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 1 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 1.16667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 1.33333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 1.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 1.66667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 1.83333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 2 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 2.16667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 2.33333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 2.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 2.66667 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 2.83333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 3 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 3.16667 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 3.33333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 3.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 3.66667 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 3.83333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 4 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 4.16667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 4.33333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 4.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 4.66667 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 4.83333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 5 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 5.16667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 5.33333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 5.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 5.66667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 5.83333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 6 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 6.16667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 6.33333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 6.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 6.66666 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 6.83333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 7 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 7.16666 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 7.33333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 7.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 7.66666 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 7.83333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 8 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 8.16666 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 8.33333 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 8.5 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 8.66666 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 8.83333 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 9 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 9.16667 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 9.33333 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 9.5 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 9.66667 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 9.83333 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 10 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 10.1667 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 10.3333 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 10.5 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 10.6667 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 10.8333 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 11 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 11.1667 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 11.3333 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 11.5 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 11.6667 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 11.8333 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 12 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 12.1667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 12.3333 )   Fish : ( X : 143.301, Z : 125 )
